parameter,value,se_lin,rse_lin
ktr_pop,1.24364615752051,0.222419936890007,17.884503204147
ka_pop,1.00534449331329,0.117120752545659,11.6498129073814
cl_pop,0.134518323412138,0.00696031832455794,5.17425295528914
v_pop,7.72587785896676,0.33847370652094,4.38103879843379
emax_pop,0.988607003665261,0.00593607112996933,0.600448015031387
ec50_pop,1.08178928440584,0.0962368853242342,8.89608417383159
kout_pop,0.052979801485267,0.00138179295390077,2.60815049351408
e0_pop,96.6668696814384,1.10009781412328,1.1380298314703
omega_ktr,0.731006009063678,0.138234583207537,18.9101842520552
omega_ka,0.460793420119475,0.0909183286026419,19.7308218027654
omega_cl,0.279289532138636,0.0379352883482754,13.5827820175676
omega_v,0.223249529611893,0.033544812821171,15.0257036955405
omega_emax,0.38035322301031,0.67094497509593,176.400496829166
omega_ec50,0.454019642258239,0.0643195311520165,14.1666846905783
omega_kout,0.0786167392215425,0.029286788339543,37.2526113770919
omega_e0,0.050756066427328,0.0100686760323665,19.8373844568565
pkadd__err,0.533444756854092,0.0625335856840937,11.7225982410767
prop__err,0.0985774655464558,0.0115096867808936,11.6757787564233
pdadd__err,3.78960336432616,0.250854239437161,6.61953812366236
